Restaurant,Food_Name,Nutrients,Calories
Schlotzsky's,"Fresh Veggie Sandwich Sandwich, Small","[{'value': 14, 'attr_id': 203}, {'value': 10, 'attr_id': 204}, {'value': 48, 'attr_id': 205}, {'value': 340, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 690, 'attr_id': 307}, {'value': 20, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",340
Schlotzsky's,"Fresh Veggie Sandwich Sandwich, Large","[{'value': 38, 'attr_id': 203}, {'value': 28, 'attr_id': 204}, {'value': 148, 'attr_id': 205}, {'value': 1010, 'attr_id': 208}, {'value': 10, 'attr_id': 269}, {'value': 8, 'attr_id': 291}, {'value': 1940, 'attr_id': 307}, {'value': 60, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 13, 'attr_id': 606}]",1010
Schlotzsky's,"Fresh Veggie Sandwich Sandwich, Pick 2","[{'value': 10, 'attr_id': 203}, {'value': 7, 'attr_id': 204}, {'value': 37, 'attr_id': 205}, {'value': 250, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 530, 'attr_id': 307}, {'value': 15, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 3.5, 'attr_id': 606}]",250
Schlotzsky's,Kids Ham Sandwich,"[{'value': 11, 'attr_id': 203}, {'value': 2, 'attr_id': 204}, {'value': 40, 'attr_id': 205}, {'value': 220, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 650, 'attr_id': 307}, {'value': 15, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",220
Schlotzsky's,French Dip Sandwich,"[{'value': 40, 'attr_id': 203}, {'value': 22, 'attr_id': 204}, {'value': 59, 'attr_id': 205}, {'value': 670, 'attr_id': 208}, {'value': 8, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 1630, 'attr_id': 307}, {'value': 90, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 10, 'attr_id': 606}]",670
Schlotzsky's,Kids Turkey Sandwich,"[{'value': 10, 'attr_id': 203}, {'value': 1.5, 'attr_id': 204}, {'value': 40, 'attr_id': 205}, {'value': 220, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 550, 'attr_id': 307}, {'value': 10, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",220
Schlotzsky's,The Caprese Sandwich,"[{'value': 18, 'attr_id': 203}, {'value': 27, 'attr_id': 204}, {'value': 64, 'attr_id': 205}, {'value': 570, 'attr_id': 208}, {'value': 8, 'attr_id': 269}, {'value': 7, 'attr_id': 291}, {'value': 1060, 'attr_id': 307}, {'value': 50, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",570
Schlotzsky's,The Sicilian Sandwich,"[{'value': 42, 'attr_id': 203}, {'value': 43, 'attr_id': 204}, {'value': 42, 'attr_id': 205}, {'value': 730, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 3040, 'attr_id': 307}, {'value': 130, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 18, 'attr_id': 606}]",730
Schlotzsky's,Kids Chicken Sandwich,"[{'value': 11, 'attr_id': 203}, {'value': 1, 'attr_id': 204}, {'value': 40, 'attr_id': 205}, {'value': 220, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 490, 'attr_id': 307}, {'value': 15, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",220
Schlotzsky's,The Tuscan Sandwich,"[{'value': 43, 'attr_id': 203}, {'value': 35, 'attr_id': 204}, {'value': 49, 'attr_id': 205}, {'value': 700, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 7, 'attr_id': 291}, {'value': 1820, 'attr_id': 307}, {'value': 100, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",700
Schlotzsky's,"Bacon Breakfast Sandwiches, Half","[{'value': 12, 'attr_id': 203}, {'value': 10, 'attr_id': 204}, {'value': 26, 'attr_id': 205}, {'value': 250, 'attr_id': 208}, {'value': 2, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 330, 'attr_id': 307}, {'value': 125, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",250
Schlotzsky's,"Bacon Breakfast Sandwiches, Whole","[{'value': 25, 'attr_id': 203}, {'value': 21, 'attr_id': 204}, {'value': 51, 'attr_id': 205}, {'value': 500, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 660, 'attr_id': 307}, {'value': 255, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 11, 'attr_id': 606}]",500
Schlotzsky's,"Classic Brisket Sandwich, Medium","[{'value': 50, 'attr_id': 203}, {'value': 30, 'attr_id': 204}, {'value': 84, 'attr_id': 205}, {'value': 770, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 4, 'attr_id': 291}, {'value': 2200, 'attr_id': 307}, {'value': 120, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 15, 'attr_id': 606}]",770
Schlotzsky's,"Classic Brisket Sandwich, Small","[{'value': 30, 'attr_id': 203}, {'value': 20, 'attr_id': 204}, {'value': 61, 'attr_id': 205}, {'value': 520, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 1520, 'attr_id': 307}, {'value': 75, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 10, 'attr_id': 606}]",520
Schlotzsky's,"Deluxe Original Sandwich, Medium","[{'value': 56, 'attr_id': 203}, {'value': 47, 'attr_id': 204}, {'value': 81, 'attr_id': 205}, {'value': 980, 'attr_id': 208}, {'value': 9, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 3820, 'attr_id': 307}, {'value': 170, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 19, 'attr_id': 606}]",980
Schlotzsky's,"Deluxe Original Sandwich, Small","[{'value': 40, 'attr_id': 203}, {'value': 39, 'attr_id': 204}, {'value': 54, 'attr_id': 205}, {'value': 740, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 2650, 'attr_id': 307}, {'value': 140, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 17, 'attr_id': 606}]",740
Schlotzsky's,"Fiesta Chicken Sandwich, Small","[{'value': 30, 'attr_id': 203}, {'value': 23, 'attr_id': 204}, {'value': 52, 'attr_id': 205}, {'value': 540, 'attr_id': 208}, {'value': 4, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 1240, 'attr_id': 307}, {'value': 85, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 11, 'attr_id': 606}]",540
Schlotzsky's,"Cuban Brisket Sandwich, Large","[{'value': 117, 'attr_id': 203}, {'value': 57, 'attr_id': 204}, {'value': 161, 'attr_id': 205}, {'value': 1570, 'attr_id': 208}, {'value': 10, 'attr_id': 269}, {'value': 6, 'attr_id': 291}, {'value': 5890, 'attr_id': 307}, {'value': 270, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 28, 'attr_id': 606}]",1570
Schlotzsky's,"The Original Sandwich, Medium","[{'value': 40, 'attr_id': 203}, {'value': 34, 'attr_id': 204}, {'value': 78, 'attr_id': 205}, {'value': 780, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 2320, 'attr_id': 307}, {'value': 115, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 16, 'attr_id': 606}]",780
Schlotzsky's,"Ham Burrito, Whole","[{'value': 29, 'attr_id': 203}, {'value': 21, 'attr_id': 204}, {'value': 44, 'attr_id': 205}, {'value': 490, 'attr_id': 208}, {'value': 7, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 1700, 'attr_id': 307}, {'value': 265, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 9, 'attr_id': 606}]",490
Schlotzsky's,"Ham Burrito, Half","[{'value': 14, 'attr_id': 203}, {'value': 11, 'attr_id': 204}, {'value': 22, 'attr_id': 205}, {'value': 240, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 850, 'attr_id': 307}, {'value': 130, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",240
Schlotzsky's,"Sausage Burrito, Half","[{'value': 15, 'attr_id': 203}, {'value': 15, 'attr_id': 204}, {'value': 21, 'attr_id': 205}, {'value': 280, 'attr_id': 208}, {'value': 3, 'attr_id': 269}, {'value': 2, 'attr_id': 291}, {'value': 590, 'attr_id': 307}, {'value': 145, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 5, 'attr_id': 606}]",280
Schlotzsky's,"Sausage Burrito, Whole","[{'value': 29, 'attr_id': 203}, {'value': 31, 'attr_id': 204}, {'value': 41, 'attr_id': 205}, {'value': 570, 'attr_id': 208}, {'value': 5, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 1180, 'attr_id': 307}, {'value': 290, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 11, 'attr_id': 606}]",570
