,Restaurant,Food_Name,Nutrients,Calories
22,Denny's,"Build Your Own Burger, Cheddar Cheese","[{'value': 5, 'attr_id': 203}, {'value': 6, 'attr_id': 204}, {'value': 0, 'attr_id': 205}, {'value': 80, 'attr_id': 208}, {'value': 0, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 120, 'attr_id': 307}, {'value': 20, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 3.5, 'attr_id': 606}]",80
23,Denny's,"Build Your Own Burger, Sauteed Mushrooms","[{'value': 1, 'attr_id': 203}, {'value': 6, 'attr_id': 204}, {'value': 1, 'attr_id': 205}, {'value': 50, 'attr_id': 208}, {'value': 0, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 55, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 1, 'attr_id': 606}]",50
24,Denny's,Spicy Sriracha Burger (Add Side Choice),"[{'value': 49, 'attr_id': 203}, {'value': 55, 'attr_id': 204}, {'value': 55, 'attr_id': 205}, {'value': 920, 'attr_id': 208}, {'value': 15, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 2200, 'attr_id': 307}, {'value': 165, 'attr_id': 601}, {'value': 2, 'attr_id': 605}, {'value': 22, 'attr_id': 606}]",920
25,Denny's,Bacon Gouda Burger (Add Side Choice),"[{'value': 61, 'attr_id': 203}, {'value': 68, 'attr_id': 204}, {'value': 58, 'attr_id': 205}, {'value': 1090, 'attr_id': 208}, {'value': 16, 'attr_id': 269}, {'value': 3, 'attr_id': 291}, {'value': 2880, 'attr_id': 307}, {'value': 200, 'attr_id': 601}, {'value': 2, 'attr_id': 605}, {'value': 28, 'attr_id': 606}]",1090
26,Denny's,"Build Your Own Burger, Sliced Jalapenos","[{'value': 0, 'attr_id': 203}, {'value': 0, 'attr_id': 204}, {'value': 1, 'attr_id': 205}, {'value': 5, 'attr_id': 208}, {'value': 1, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 440, 'attr_id': 307}, {'value': 0, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 0, 'attr_id': 606}]",5
27,Denny's,"Build Your Own Burger, Swiss Cheese","[{'value': 6, 'attr_id': 203}, {'value': 6, 'attr_id': 204}, {'value': 0, 'attr_id': 205}, {'value': 80, 'attr_id': 208}, {'value': 0, 'attr_id': 269}, {'value': 0, 'attr_id': 291}, {'value': 45, 'attr_id': 307}, {'value': 20, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 4, 'attr_id': 606}]",80
28,Burger King,Hamburger,"[{'value': 13, 'attr_id': 203}, {'value': 10, 'attr_id': 204}, {'value': 26, 'attr_id': 205}, {'value': 240, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 380, 'attr_id': 307}, {'value': 35, 'attr_id': 601}, {'value': 0.5, 'attr_id': 605}, {'value': 3.5, 'attr_id': 606}]",240
29,Burger King,Double Hamburger,"[{'value': 21, 'attr_id': 203}, {'value': 18, 'attr_id': 204}, {'value': 26, 'attr_id': 205}, {'value': 350, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 410, 'attr_id': 307}, {'value': 70, 'attr_id': 601}, {'value': 1, 'attr_id': 605}, {'value': 7, 'attr_id': 606}]",350
30,Burger King,Kids Hamburger,"[{'value': 13, 'attr_id': 203}, {'value': 10, 'attr_id': 204}, {'value': 26, 'attr_id': 205}, {'value': 240, 'attr_id': 208}, {'value': 6, 'attr_id': 269}, {'value': 1, 'attr_id': 291}, {'value': 380, 'attr_id': 307}, {'value': 35, 'attr_id': 601}, {'value': 0.5, 'attr_id': 605}, {'value': 3.5, 'attr_id': 606}]",240
31,Burger King,BK Veggie Burger,"[{'value': 21, 'attr_id': 203}, {'value': 17, 'attr_id': 204}, {'value': 41, 'attr_id': 205}, {'value': 390, 'attr_id': 208}, {'value': 9, 'attr_id': 269}, {'value': 5, 'attr_id': 291}, {'value': 980, 'attr_id': 307}, {'value': 5, 'attr_id': 601}, {'value': 0, 'attr_id': 605}, {'value': 2.5, 'attr_id': 606}]",390
